time_step,time,energy,power,dE_dt,residual,work,energy_balance,eL2_u,eH1_u,eL2_v
194,0.194,30.71,43.5739,47.1535,3.57961,-0.132048,-8.03862e-06,2.19619e-05,0.00199944,0.00124656
195,0.195,30.7499,36.3775,39.9781,3.60067,-0.0920725,-5.57183e-06,2.19281e-05,0.00168133,0.00122833
196,0.196,30.7827,29.1451,32.7633,3.61818,-0.0593112,-3.5501e-06,2.19654e-05,0.00136143,0.00121863
197,0.197,30.8082,21.8841,25.5162,3.63211,-0.0337966,-1.97543e-06,2.20711e-05,0.00104195,0.00121627
198,0.198,30.8265,14.6014,18.2439,3.64246,-0.0155538,-8.49371e-07,2.22431e-05,0.000729117,0.00121936
199,0.199,30.8374,7.30431,10.9535,3.64922,-0.00460096,-1.73035e-07,2.24798e-05,0.000445445,0.00122592
200,0.2,30.8411,-9.75736e-13,3.65238,3.65238,-0.00094881,5.29314e-08,2.27798e-05,0.000300949,0.00123453
201,0.201,30.8374,-7.30431,-3.65238,3.65193,-0.00460097,-1.71707e-07,2.31417e-05,0.000457315,0.00124455
202,0.202,30.8265,-14.6014,-10.9535,3.64788,-0.0155538,-8.4674e-07,2.3564e-05,0.00074269,0.00125629
203,0.203,30.8082,-21.8841,-18.2439,3.64023,-0.0337966,-1.97148e-06,2.40451e-05,0.00105464,0.00127074
204,0.204,30.7827,-29.1452,-25.5163,3.62898,-0.0593113,-3.54483e-06,2.45838e-05,0.00137238,0.00128917
205,0.205,30.7499,-36.3776,-32.7634,3.61416,-0.0920727,-5.56522e-06,2.5179e-05,0.00169018,0.00131263
206,0.206,30.71,-43.5741,-39.9783,3.59577,-0.132049,-8.03067e-06,2.58299e-05,0.00200614,0.00134143
207,0.207,30.6628,-50.7275,-47.1537,3.57382,-0.179199,-1.09387e-05,2.65363e-05,0.00231986,0.00137482
208,0.208,30.6085,-57.8309,-54.2826,3.54836,-0.233479,-1.42866e-05,2.7298e-05,0.0026317,0.00141093
209,0.209,30.5472,-64.8773,-61.3579,3.51939,-0.294833,-1.80708e-05,2.81146e-05,0.00294243,0.00144692
210,0.21,30.4788,-71.8596,-68.3726,3.48694,-0.363201,-2.22878e-05,2.89847e-05,0.00325294,0.00147944
211,0.211,30.4035,-78.771,-75.3199,3.45106,-0.438516,-2.69333e-05,2.99057e-05,0.00356405,0.001505
212,0.212,30.3213,-85.6047,-82.1929,3.41177,-0.520704,-3.20028e-05,3.08735e-05,0.00387635,0.00152049
213,0.213,30.2323,-92.3539,-88.9848,3.36911,-0.609683,-3.74912e-05,3.18819e-05,0.00419009,0.00152354
214,0.214,30.1366,-99.012,-95.6888,3.32313,-0.705366,-4.33932e-05,3.29227e-05,0.00450515,0.00151277
215,0.215,30.0343,-105.572,-102.298,3.27387,-0.807659,-4.97029e-05,3.39865e-05,0.00482105,0.00148798
216,0.216,29.9255,-112.029,-108.807,3.22138,-0.916459,-5.64141e-05,3.50627e-05,0.00513709,0.00145021
217,0.217,29.8103,-118.374,-115.208,3.16571,-1.03166,-6.35203e-05,3.61407e-05,0.00545244,0.00140166
218,0.218,29.6888,-124.603,-121.496,3.10691,-1.15315,-7.10143e-05,3.72102e-05,0.00576626,0.00134558
219,0.219,29.5611,-130.709,-127.664,3.04505,-1.2808,-7.88887e-05,3.82627e-05,0.00607788,0.001286
220,0.22,29.4274,-136.686,-133.705,2.98019,-1.4145,-8.71359e-05,3.92911e-05,0.00638683,0.00122732
221,0.221,29.2878,-142.528,-139.615,2.91238,-1.55411,-9.57477e-05,4.02914e-05,0.0066929,0.00117376
222,0.222,29.1424,-148.229,-145.387,2.8417,-1.69949,-0.000104715,4.12617e-05,0.00699616,0.00112871
223,0.223,28.9914,-153.784,-151.016,2.76821,-1.85049,-0.00011403,4.22031e-05,0.00729689,0.00109421
224,0.224,28.8349,-159.187,-156.495,2.692,-2.00698,-0.000123683,4.31188e-05,0.00759549,0.00107063
225,0.225,28.6731,-164.434,-161.82,2.61312,-2.16879,-0.000133665,4.40143e-05,0.00789238,0.00105686
226,0.226,28.5061,-169.517,-166.986,2.53167,-2.33577,-0.000143965,4.48962e-05,0.00818793,0.00105093
227,0.227,28.3341,-174.434,-171.986,2.44772,-2.50774,-0.000154573,4.57719e-05,0.00848234,0.0010507
228,0.228,28.1573,-179.179,-176.817,2.36135,-2.68455,-0.00016548,4.6649e-05,0.00877563,0.00105459
229,0.229,27.9758,-183.746,-181.474,2.27265,-2.86601,-0.000176674,4.7535e-05,0.00906765,0.00106186
